εν	Genesis 1:1	1
αρχη	Genesis 1:1	2
ποιεω	Genesis 1:1	3
ο	Genesis 1:1	4
θεος	Genesis 1:1	5
ουρανος	Genesis 1:1	7
και	Genesis 1:1	8
γη	Genesis 1:1	10
δε	Genesis 1:2	12
ειμι	Genesis 1:2	14
αορατος	Genesis 1:2	15
ακατασκευαστος	Genesis 1:2	17
σκοτος	Genesis 1:2	19
επανω	Genesis 1:2	20
αβυσσος	Genesis 1:2	22
πνευμα	Genesis 1:2	24
επιφερω	Genesis 1:2	26
υδωρ	Genesis 1:2	29
επω	Genesis 1:3	31
γινομαι	Genesis 1:3	34
φως	Genesis 1:3	35
οραω	Genesis 1:4	40
οτι	Genesis 1:4	45
καλος	Genesis 1:4	46
διαχωριζω	Genesis 1:4	48
ανα.1	Genesis 1:4	51
μεσος	Genesis 1:4	52
καλεω	Genesis 1:5	61
ημερα	Genesis 1:5	66
νυξ	Genesis 1:5	71
εσπερα	Genesis 1:5	74
πρωι	Genesis 1:5	77
εις.1	Genesis 1:5	79
στερεωμα	Genesis 1:6	85
ουτως	Genesis 1:6	100
ος	Genesis 1:7	115
υποκατω	Genesis 1:7	117
δευτερος	Genesis 1:8	149
συναγω	Genesis 1:9	154
εις	Genesis 1:9	161
συναγωγη	Genesis 1:9	162
ξηρος	Genesis 1:9	167
αυτος	Genesis 1:9	182
συστημα	Genesis 1:10	196
θαλασσα	Genesis 1:10	200
βλαστανω	Genesis 1:11	211
βοτανη	Genesis 1:11	214
χορτος	Genesis 1:11	215
σπειρω	Genesis 1:11	216
σπερμα	Genesis 1:11	217
κατα	Genesis 1:11	218
γενος	Genesis 1:11	219
ομοιοτης	Genesis 1:11	222
ξυλον	Genesis 1:11	224
καρπιμος	Genesis 1:11	225
καρπος.1	Genesis 1:11	227
ου.1	Genesis 1:11	228
επι	Genesis 1:11	236
εκφερω	Genesis 1:12	243
τριτος	Genesis 1:13	284
φωστηρ	Genesis 1:14	290
φαυσις	Genesis 1:14	297
σημειον	Genesis 1:14	314
καιρος	Genesis 1:14	317
ενιαυτος	Genesis 1:14	323
ωστε	Genesis 1:15	333
φαινω	Genesis 1:15	334
δυο	Genesis 1:16	346
μεγας	Genesis 1:16	349
ελασσων	Genesis 1:16	362
αστηρ	Genesis 1:16	369
τιθημι	Genesis 1:17	371
αρχω	Genesis 1:18	386
τεταρτος	Genesis 1:19	416
εξαγω	Genesis 1:20	421
ερπετον	Genesis 1:20	424
ψυχη	Genesis 1:20	425
ζαω	Genesis 1:20	426
πετεινον	Genesis 1:20	428
πετομαι	Genesis 1:20	429
κητος	Genesis 1:21	446
πας	Genesis 1:21	450
ζωον	Genesis 1:21	452
πτερωτος	Genesis 1:21	464
ευλογεω	Genesis 1:22	474
λεγω	Genesis 1:22	478
αυξανω	Genesis 1:22	479
πληθυνω	Genesis 1:22	481
πληροω	Genesis 1:22	483
πεμπτος	Genesis 1:23	503
τετραπους	Genesis 1:24	515
θηριον	Genesis 1:24	519
κτηνος	Genesis 1:25	539
ανθρωπος	Genesis 1:26	562
εικων	Genesis 1:26	564
ημετερος	Genesis 1:26	565
ομοιωσις	Genesis 1:26	568
ιχθυς	Genesis 1:26	572
ερπω	Genesis 1:26	592
αρσην	Genesis 1:27	607
θηλυς	Genesis 1:27	609
κατακυριευω	Genesis 1:28	626
ιδου	Genesis 1:29	660
διδωμι	Genesis 1:29	661
υμιν	Genesis 1:29	662
σποριμος	Genesis 1:29	665
εχω	Genesis 1:29	678
εαυτου	Genesis 1:29	680
βρωσις	Genesis 1:29	687
ζωη	Genesis 1:30	713
χλωρος	Genesis 1:30	716
οσος	Genesis 1:31	728
λιαν	Genesis 1:31	733
εκτος.1	Genesis 1:31	741
συντελεω	Genesis 2:1	743
κοσμος	Genesis 2:1	752
εργον	Genesis 2:2	764
καταπαυω	Genesis 2:2	769
εβδομος	Genesis 2:2	773
απο	Genesis 2:2	774
αγιαζω	Genesis 2:3	790
ουτος	Genesis 2:4	806
βιβλος	Genesis 2:4	808
γενεσις	Genesis 2:4	809
οτε	Genesis 2:4	813
αγρος	Genesis 2:5	828
προ	Genesis 2:5	829
ανατελλω	Genesis 2:5	841
ου	Genesis 2:5	842
γαρ	Genesis 2:5	843
βρεχω	Genesis 2:5	844
εργαζομαι	Genesis 2:5	854
πηγη	Genesis 2:6	857
αναβαινω	Genesis 2:6	859
εκ	Genesis 2:6	860
ποτιζω	Genesis 2:6	864
προσωπον	Genesis 2:6	867
πλασσω	Genesis 2:7	871
χους.1	Genesis 2:7	876
εμφυσαω	Genesis 2:7	881
πνοη	Genesis 2:7	886
φυτευω	Genesis 2:8	896
κυριος	Genesis 2:8	897
παραδεισος	Genesis 2:8	900
εδεμ	Genesis 2:8	902
ανατολη	Genesis 2:8	904
εκει	Genesis 2:8	907
εξανατελλω	Genesis 2:9	913
ετι	Genesis 2:9	916
ωραιος	Genesis 2:9	922
ορασις	Genesis 2:9	924
ειδω	Genesis 2:9	942
γνωστος	Genesis 2:9	943
πονηρος	Genesis 2:9	946
ποταμος	Genesis 2:10	947
εκπορευομαι	Genesis 2:10	949
εκειθεν	Genesis 2:10	955
αφοριζω	Genesis 2:10	956
τεσσαρες	Genesis 2:10	958
ονομα	Genesis 2:11	960
φισων	Genesis 2:11	963
κυκλοω	Genesis 2:11	966
ευιλατ	Genesis 2:11	970
χρυσιον	Genesis 2:11	975
εκεινος	Genesis 2:12	981
ανθραξ	Genesis 2:12	987
λιθος	Genesis 2:12	990
πρασινος	Genesis 2:12	992
γηων	Genesis 2:13	999
αιθιοπια	Genesis 2:13	1006
τιγρις	Genesis 2:14	1012
πορευομαι	Genesis 2:14	1015
κατεναντι	Genesis 2:14	1016
ασσυριος	Genesis 2:14	1017
ευφρατης	Genesis 2:14	1024
λαμβανω	Genesis 2:15	1026
φυλασσω	Genesis 2:15	1043
εντελλομαι	Genesis 2:16	1045
αδαμ	Genesis 2:16	1050
εσθιω	Genesis 2:16	1060
γινωσκω	Genesis 2:17	1066
αν	Genesis 2:17	1076
θανατος	Genesis 2:17	1081
αποθνησκω	Genesis 2:17	1082
μονον	Genesis 2:18	1093
βοηθος	Genesis 2:18	1096
αγω	Genesis 2:19	1119
προς	Genesis 2:19	1121
τις.1	Genesis 2:19	1125
εαν	Genesis 2:19	1131
ευρισκω	Genesis 2:20	1163
ομοιος	Genesis 2:20	1165
επιβαλλω	Genesis 2:21	1168
εκστασις	Genesis 2:21	1171
υπνοω	Genesis 2:21	1176
πλευρα	Genesis 2:21	1181
αναπληροω	Genesis 2:21	1184
σαρξ	Genesis 2:21	1185
αντι	Genesis 2:21	1186
οικοδομεω	Genesis 2:22	1189
γυνη	Genesis 2:22	1201
νυν	Genesis 2:23	1212
οστεον	Genesis 2:23	1213
μου	Genesis 2:23	1217
ανηρ	Genesis 2:23	1230
ενεκα	Genesis 2:24	1234
καταλειπω	Genesis 2:24	1236
πατηρ	Genesis 2:24	1239
μητηρ	Genesis 2:24	1243
